review_id,business_id,stars_x,stars_y,date,city,text,categories
JN0tmjiksWfr4i2NIFuPXw,pLZ9oZM8c6MNbRlg06lBPg,1,3.0,2016-08-03,Las Vegas,"THEY SELL WRECKED VEHICLES! 
I purchased a 2010 Nissan Altima with 41,000 miles on it in 2013 from Planet Nissan. They charged me $18,000 and provided me with no warranty, except for manufacturer powertrain. Immediately after purchasing the vehicle I began having to make out of pocket repairs to the suspension, brakes and exhaust system every 6 to 9 months with absolutely no clue as to why after all the repairs the car still drove somewhat unsteady at high speeds. 
    Two years after I bought the car I was finally sick of the constant problems and decided to trade it in with another dealership, during the trade in process I found out that Planet Nissan had sold the vehicle to me knowing that it was involved in a ""major"" car accident which caused frame damage six months prior to them selling it to me.
Unfortunately there's not much I can do now, but I would advise any savvy consumer to avoid this dealership by all means possible and go someplace that is a bit more reputable!",Auto Repair;Car Dealers;Automotive;Auto Parts & Supplies
lFmz61DNRzBPnrwH_cF42g,J0KZR0DDnvj73D-xmbh4uA,4,4.0,2017-06-15,Las Vegas,"I stopped in here recently as I had to buy a torque wrench. The staff were pleasant and helpful. 

They saved me quite a bit of money by letting me know I could rent the tool and didn't have to buy it.",Auto Parts & Supplies;Auto Repair;Automotive
R9p3ug8zNPvawYX_jsO0UA,Tknj3u-3CZTI-q52saTAIA,1,1.0,2012-09-12,Toronto,"If you want the ""I don't give a shit "" attitude from some of the service dept staff take you car for service here . Horrible experience from the service dept staff not all but all it takes is one. First a last time I take my car there. Avoid if you can",Car Dealers;Auto Repair;Automotive
FMXER_6R6URYBpV6TYPn9A,rV1nkTx58v_q7YGDkGzfxQ,5,5.0,2016-06-10,Las Vegas,"where to start...
a few months ago I slammed.my truck into a curb. I destroyed the wheel and rim. took the truck to Discount tire to get replacements, which they were able to do. They got a factory rim and a new tire the following day. It could have been same day but the I had miss there delivery from the dealership. 

I took it to get it aligned across the street and they said they did the best they could. They're best was well really bad the stirring wheel if you hold it straight the truck would go straight but if you left go the house whole truck went to the left. 

Discount Tire told me they recommend going to Quality Star down rancho. we brought it to them. Later that day they said it would be bout 500 for a control arm thats cracked. But it's still pulling so they need to work on it. Later that same day they called and said it would be another hundred and something for another part. they were really sorry but they are trying to fix it but they keep find problems.  We went down to pay and see it is was down. when we got there they were test driving it. but told me the bill was now eight hundred and something. I was annoyed but just wanted my truck fixed. however when they were done with the test drive he said it's better but not perfect and ask for more time. we let them keep it a few more days but  when we would call for updates it was just a run around. 
I had a gut feeling something was wrong so we went down and said we just want the truck back. they gave us a speech about how it's a process and we should turn it into insurance because the whole front end on the passenger side needs to be replaced. I said hell no and took my truck home on the way I noticed if you hold the wheel level it now went to the left and it you let go it quick pulled to the right. so I had to fight to keep it straight. I also notice when I got home they banged my drive side door frame so I am missing paint along the door

we called a relative worried bout the truck and not sure where to go or what to do. 
He told me to take it to Arrow Alignment and they would take a look. He sends all his customers there that have issues  with there alignments. 
We made an appointment and took it in this morning. They are pretty far from me. the Mechanic talked to us for a few minutes and asked for some background about the problem. 
he said the give him about an hour. 
I went back to work fearing another big bill. but thankfully that didn't happen. I went down and he said he fixed it. that it was the alignment and also the wheel as it had worn wrong because of how I had been having to drive it. Then the most unexpected thing happened. he didn't charge me a dime and said I had already paid enough and he was sorry it was so much trouble to get fix.",Auto Repair;Automotive
bJN2ZPa0jF4xgR1gPKZP3A,hCXknMQalY1QQZrdZGuBHg,3,3.5,2017-01-24,Las Vegas,"I have mixed feelings here. I recently purchased an XJ not from here. They had one that was a great price and I test drove it and man Jag does know how to make a smooth ride. However, I was trading in a ram truck and the dealership wanted to lowball me on the trade because of the tax credit. It's frustrating to me as I am not a novice to buying cars I have bought and sold 50 plus cars. So I did my research and math before I came here. I knew what the trade value was on my truck, but of course the dealership says they don't use blue book, black book, edmonds or nada which is fine I don't expect full trade value but they came in 5 k less. When I told the sales me what another dealership offered he told me to go there. So I did and bought an Xj from them and sold my truck. 

However, there was an issue with the seat heater. For some reason, it only worked when the car was in park. No worry's I took it to this dealership's service department as it had factory warranty on it and was covered. I explained the problem and left my car. The service rep was very nice and helpful, made me feel very welcomed and valued, unlike the sales person. 

They called me a few days later saying there's no issue with the heater and I can come get it. They said they turned the car on and tested it with a thermometer and it heats up fine. I told them that I know it works with the car is in park, but I don't drive around in park. So I asked them to read the notices that the service rep made when I explained how to recreate the issue and call me when its fixed. 

A week later and they are replacing the heater unit. 
All in all I have very mixed feelings as the service level I received is so up and down.",Car Dealers;Auto Repair;Automotive
oLRl6PegGyjh7JA-8fUVzQ,btoBhgcY7vtvQ2M0itdTBQ,1,5.0,2016-06-10,Las Vegas,"where to start...
a few months ago I slammed.my truck into a curb. I destroyed the wheel and rim. took the truck to Discount tire to get replacements, which they were able to do. They got a factory rim and a new tire the following day. It could have been same day but the I had miss there delivery from the dealership. 

I took it to get it aligned across the street and they said they did the best they could. They're best was well really bad the stirring wheel if you hold it straight the truck would go straight but if you left go the house whole truck went to the left. 

Discount Tire told me they recommend going to Quality Star down rancho. we brought it to them. Later that day they said it would be bout 500 for a control arm thats cracked. But it's still pulling so they need to work on it. Later that same day they called and said it would be another hundred and something for another part. they were really sorry but they are trying to fix it but they keep find problems.  We went down to pay and see it is was down. when we got there they were test driving it. but told me the bill was now eight hundred and something. I was annoyed but just wanted my truck fixed. however when they were done with the test drive he said it's better but not perfect and ask for more time. we let them keep it a few more days but  when we would call for updates it was just a run around. 
I had a gut feeling something was wrong so we went down and said we just want the truck back. they gave us a speech about how it's a process and we should turn it into insurance because the whole front end on the passenger side needs to be replaced. I said hell no and took my truck home on the way I noticed if you hold the wheel level it now went to the left and it you let go it quick pulled to the right. so I had to fight to keep it straight. I also notice when I got home they banged my drive side door frame so I am missing paint along the door

we called a relative worried bout the truck and not sure where to go or what to do. 
He told me to take it to Arrow Alignment and they would take a look. He sends all his customers there that have issues  with there alignments. 
We made an appointment and took it in this morning. They are pretty far from me. the Mechanic talked to us for a few minutes and asked for some background about the problem. 
he said the give him about an hour. 
I went back to work fearing another big bill. but thankfully that didn't happen. I went down and he said he fixed it. that it was the alignment and also the wheel as it had worn wrong because of how I had been having to drive it. Then the most unexpected thing happened. he didn't charge me a dime and said I had already paid enough and he was sorry it was so much trouble to get fix",Auto Repair;Oil Change Stations;Automotive;Wheel & Rim Repair;Body Shops;Transmission Repair;Towing
cIeF6K2kjNNkJ2pMKrGztA,Gxu3_yzEAXKtkBB0YpnvlQ,1,1.5,2009-07-19,Peoria,"Last weekend I decided to go on a hunt to see if I could find a deal worthy of trading in my current car for a newer model. I went to two dealerships because one I was familiar with and closer to my home, and the other had the exact car I wanted. I should have never made that second trip.

I already put car salesman at a lower bar than other people in my mind, but this was a whole new level of low. If you don't want to end your day wanting to staple things to people's heads, I would stay away from this dealership.

I walked into the dealership knowing what I wanted. I still wanted to browse first, but I had researched. This is also not my first car buying experience, and not my first Mazda. I am well aware of the line. Oh yeah, and I'm also a car fanatic. 

I didn't mind being hunted down by a salesman right away because I had really already knew what I wanted. It was coincidental that without saying what I wanted, the first car he decided to show me was the one I had seen in their online inventory. 

Soon enough I was on a test drive. Great car as expected. I asked some simple questions such as if I could have more details on the specifics of the particular perimeter alarm that was installed on that car to which the salesman did not have an answer. Makes me think it would have been fun to ask him what was under the hood.

We all know that what comes next is the fun part. And by fun, I mean extremely annoying process that takes 10 times longer than it should - the negotiating process. The first part was estimating the trade in value of my car though he decided to wrap this up in the first round of pricing negotiations. Right off the bat I was undercut by a couple grand at least on my trade in. Not cool. 

I told him that the trade in value wasn't acceptable and asked if I could find out the specific price plan I was eligible for to which I received a blank look. I would expect a dealership employee to know the various standard pricing plans. I also let him know I wanted to know what other offers were available. After waiting awhile, he came back with no change in the trade in, but did give me the pricing plan I was eligible for.

Since it was still not where it needed to be, I explained to him what I was looking for. I told him my situation and that I did not need to buy a new car. I told him that my car was perfectly fine and in amazing condition and that I wasn't desperate. I let him know the price I had gotten down to at another dealership and where I ideally wanted to be. I said I didn't want to play negotiation games and I wanted to know how close he could get me.

Things quickly got out of line. I was treated with great disrespect as I was given excuse after excuse and attack after attack. At one point he recommended I lease and when I explained to him I did not want to lease I was given a rant of how I don't put enough miles on my car and it's stupid for me to buy. Really? Okay. I'm out then. If that wasn't enough I was also attacked for asking what the lowest price was. I was asked if I wanted the company to lose money all while he kept informing me that he gets paid on commission, which goes by the number of cars he sells. I guess maybe I looked like I didn't know how car dealerships worked and how the car buying process goes. At one point he asked again where I wanted to be payment wise, to which I told him. He then put a range down on a scrap piece of paper with an x and a line below it and told me to sign. When I said I wasn't comfortable signing a scrap piece of paper below a payment price range without any detail or further information, he became very agitated.

In the end I let him know that this wasn't going anywhere and that I didn't think the price was going to be where I needed it to be. I told him that with the economy the way it is, that I figured the price would be lower. When I purchased my other car in a much better economy I was able to get a better deal. I asked if I could have my pricing plan certificate back and was given a very sarcastic, ""You can have whatever you want.""

I was so repulsed by the way I was treated. I emailed customer service at the dealership and never received a response. I cannot believe they would ignore a situation like this, though with the only other review being a 1, I am not that surprised anymore. 

Slightly more detail is available on my blog, but I didn't want to write a novel here unless it was wanted. Oops I guess I already did :)",Car Dealers;Automotive;Auto Repair
7Je9L6bqTSBd4Ah9M3rvDw,C2VIYAElOUer5rBZH71c_A,5,4.5,2012-10-06,Phoenix,"What a difference a new location with more space makes. I now kinda feel like I make up reasons to bring my car in so I can cowork at the awesome desk in the new sexy space 180 just moved into. Headlight out? 180 should be able to fix that. I feel like my exhaust pipe may be loose but I may simply be paranoid? 180 can check that for me. I don't like the song on the radio? 180 can fix that (well probably not, but I can still cowork while they amuse me).

The fact that there are more bays also means my typical maintenance gets done so much quicker too. I've been able to get in and out of the shop in an hour or so. And there's space to sit there. And a desk!!!!! A real desk. So I can sit down and be an adult and connect to the VPN and do all that work stuff. 

And the rest of the stuff I've always loved has still stayed the same. It's locally owned by and operated by some kick ass women. They always tell me what's going on with my car in a completely no bullshit, non-condescending way. The prices are reasonable. And they are very friendly. Most importantly, they truly care. 

Oh and, they're reusable cups they give as presents are amazing and well designed. Love!

So next time your car needs to be looked at, let me know. I'll bring it in for you.",Education;Auto Repair;Specialty Schools;Automotive
uAEuiS57FV9nrqmtpu4Wiw,HHcuXarbh_kJQ95Yjsjp0Q,3,2.5,2009-08-09,Chandler,"So it's not my Mazda dealership in Michigan, but Earnhardt has never done me wrong.

I go there for maintenance on my car as well as have bought parts and items for my Mazda there also. They've always been very friendly and helpful and never anything but honest. 

Downside? They can't seem to keep my address in their system and I have to give it to them every time I'm there. Slightly annoying.",Body Shops;Car Dealers;Automotive;Auto Repair
IQwRbPB5OZRuGyOQ7pSbjw,hh4fbhrp5x50P8wAbRwADw,3,2.5,2011-04-30,Phoenix,"This review is being occasionally brought to you by Showcase Mazda service lobby wifi. Kinda. Because it took 20 minutes for it to work. But we seem to be okay now. Hopefully I can get through this.

Now that I have that off my chest I have to say I'm confused. Why? Because, according to yelp, the Mazda dealership near 16th St & Camelback brands its service department under a completely different name. But I have never experience that in my contact with them or mailings I receive. It's always been Camelback Mazda. Alas, I am getting service, so I guess this is the company I need to file it under.

After being here a few times, I have to say it's pretty much so-so. The first time I was here, I had an amazing experience with the service department. Iain was fantastic and told me what was up and showed me what was going on. I hate when mechanics and service staff just assume I'm gonna throw money at them without understanding the issue. It's crazy. He also gave me a loaner car when it was going to be longer than expected, which I truly appreciate. Granted it was a horrid orange Subaru wagon\/SUV thing that was SO not my Mazda, but it worked.

This time, I'm a little less optimistic. The time it took me to even get my car into service was a nightmare. I sat there while some typing was going on and questions were asked that should've been in my record and on my appointment (like WTF I'm getting done). Other Mazda dealerships I've been to have had that ready when I got there. I just review sign, and go hop to my coworking. The end. Get with it. It took 15 minutes for my car to even get back there. Maybe I should get here 20 minutes early next time. 

However, the lobby if you need to wait is fantastic. I always choose to sit and wait because it gives me time to catch up on things, like yelp reviews. There's a TV, some couches, high tables to sit and work at, wifi, popcorn, coffee, soda, and slushies. Oh and this great photo wall of people kayaking. I uploaded it so you don't miss out.

Overall not too bad, but time will tell how consistent the check-in procedure is.",Car Dealers;Automotive;Auto Repair
